Date,ad,ad_z_50,pct_above_20dma,pct_above_20dma_z,pct_above_20dma_chg,pct_above_50dma,pct_above_50dma_z,pct_above_50dma_chg,pct_above_200dma,pct_above_200dma_z,pct_above_200dma_chg,nhnl_z,median_stock_vol_20,median_stock_vol_20_z,median_stock_vol_50,median_stock_vol_50_z,nifty50_price_above_50,nifty50_price_above_200,nifty50_dma200_slope_pct,nifty50_dist_200_z,nifty50_persistence_200,nifty50_vol_20,nifty50_vol_20_z,nifty50_vol_50,nifty50_vol_50_z,nifty50_mom_63,nifty50_mom_126,nifty50_mom_12_1,nifty50_mom_12_1_z,nifty_total_price_above_50,nifty_total_price_above_200,nifty_total_dma200_slope_pct,nifty_total_dist_200_z,nifty_total_persistence_200,nifty_total_vol_20,nifty_total_vol_20_z,nifty_total_vol_50,nifty_total_vol_50_z,nifty_total_mom_63,nifty_total_mom_126,nifty_total_mom_12_1,nifty_total_mom_12_1_z
2007-06-27,-113,-0.4600063083611189,12.123176661264182,0.650844063452434,1.3614262560777952,11.86385737439222,0.47536371816469514,-1.717990275526743,8.784440842787683,0.9344998214317222,0.3889789303079425,1.0503058709523119,0.3432452619595118,-0.9861118791465092,0.37091044068615225,-1.5362443333201912,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-28,67,0.5953794978758092,12.252836304700162,0.6852120737118989,1.1021069692058347,11.92868719611021,0.49623285300714515,-1.9448946515397072,8.752025931928689,0.9030162798678819,0.3565640194489479,1.1790541764739564,0.3442676691779032,-0.9524251702260575,0.3717407185247076,-1.4882039338629631,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-29,158,1.115459884580163,14.100486223662884,1.1477927113870348,1.3614262560777934,12.836304700162074,0.7310897468131522,-1.3938411669367898,9.238249594813615,1.2268621173790815,0.4213938411669389,1.707718928066743,0.34547393631658163,-0.9151775938000307,0.3704875780030207,-1.5158164416857383,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-02,47,0.43697413120250467,14.878444084278769,1.3362772849034907,3.014586709886549,12.901134521880063,0.7509474730408797,-0.8427876823338742,9.303079416531604,1.2583276601751954,0.6158833063209066,1.8892423092353072,0.3426975150267041,-0.9753043693811004,0.37196074452185274,-1.4456010285779222,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-03,71,0.6085789943751834,15.688816855753645,1.5219476725324483,3.695299837925445,13.354943273905997,0.8672490577221655,-0.8752025931928671,9.692058346839547,1.5132079500396414,1.004862236628849,1.933293700470805,0.3427584304629737,-0.9650019613930693,0.37067195077729237,-1.4749596524373096,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-04,-86,-0.3473810065159613,15.52674230145867,1.464539554172263,6.094003241491086,13.484602917341979,0.8995441645387938,0.7131280388978958,9.627228525121556,1.4555248189346435,1.5235008103727719,1.583351916866909,0.3382868578434771,-1.0652738529568968,0.3700269007186794,-1.4807785894718202,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-05,-270,-1.4013269853638641,14.197730956239871,1.1252628696588651,5.510534846029174,12.609400324149108,0.6771444308686028,0.45380875202593174,9.497568881685575,1.3518467424434601,1.6207455429497575,1.0433769644839788,0.3393519082551412,-1.0313517054210388,0.3692367331017963,-1.4915000957299271,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-06,80,0.6975006448675465,14.748784440842789,1.2514217010524127,7.649918962722853,12.836304700162074,0.7370478292243873,1.653160453808752,9.46515397082658,1.3158712487790063,1.653160453808753,1.1022092767423322,0.3399391485850429,-1.0105613742168496,0.36884435161905044,-1.488104581411223,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-09,179,1.2381781561078522,15.688816855753645,1.468403300730672,8.784440842787681,13.517017828200972,0.911699503938763,2.755267423014585,9.821717990275527,1.5460803532737264,1.9773095623987045,2.454318774811687,0.35020630757280324,-0.7591871400113528,0.36992682866838944,-1.4331795089498844,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-10,-164,-0.8300838882434219,14.975688816855753,1.2817464710242483,9.52998379254457,13.290113452188008,0.8536535818599368,3.7601296596434377,9.52998379254457,1.3306934855830843,2.009724473257698,1.3941219769603912,0.3412686051596113,-0.9700618958884895,0.36548497958480775,-1.5712346124337468,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-11,16,0.2778314749621056,14.457050243111832,1.1444557027255315,9.46515397082658,13.322528363047,0.8616895049323788,3.922204213938411,9.692058346839547,1.4282673146238245,2.1069692058346847,1.7026426400447434,0.3443666942847944,-0.8915075123617953,0.36644334448588733,-1.5192278476587768,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-12,288,1.8973338472115577,16.012965964343596,1.5070286634371026,9.173419773095624,14.13290113452188,1.067176668819552,3.5008103727714754,10.145867098865478,1.7210854871919217,2.171799027552675,3.181252786323004,0.34982690944580563,-0.757746102714606,0.36730308543044277,-1.4718770929703033,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-13,-64,-0.22742070558495364,15.26742301458671,1.3134867652690547,7.941653160453809,14.489465153970826,1.1559619387263296,4.213938411669368,10.21069692058347,1.7434171993696779,2.171799027552675,2.0103293345935405,0.35457313726420153,-0.6424296688029848,0.3726168674623806,-1.2724618368013745,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-16,33,0.3415588980402412,15.39708265802269,1.3314297623778641,8.525121555915721,14.521880064829823,1.1598016008559757,4.570502431118316,10.53484602917342,1.9393655457390726,2.820097244732576,2.5347482460450506,0.3592681438013875,-0.5298152635929757,0.3741630822044999,-1.205959863354618,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-17,-232,-1.2816616589275671,13.970826580226905,0.9793519290658408,6.223662884927067,13.808752025931929,0.9753046157340359,3.6304700162074557,10.437601296596434,1.8490509935392394,2.4959481361426255,1.2147900702146917,0.3632570784782634,-0.43477846290794436,0.37560150665861,-1.1442051296859275,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-18,-125,-0.6240094696631145,13.322528363047,0.8166537713983179,4.051863857374391,13.452188006482983,0.882637710505629,2.4311183144246353,10.405186385737439,1.8046321005708923,2.0421393841166946,0.9585331781749027,0.36241689689043166,-0.45519445105124523,0.3755993059037071,-1.133009367238926,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-19,152,1.0299499940951777,13.614262560777956,0.8795573127439733,3.111831442463531,13.970826580226905,1.0126092970864204,2.4959481361426263,10.275526742301459,1.6960719209724415,1.8476499189627233,2.232501769359013,0.37090253020085134,-0.2521680885224584,0.3768566001908289,-1.078987956628091,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-20,-217,-1.1610836777357063,12.220421393841168,0.5419701195762898,2.106969205834684,13.549432739059968,0.9039013435324564,2.236628849270666,10.275526742301459,1.6754592163793918,1.717990275526743,1.3588747508267351,0.37640623872367923,-0.12153023663905789,0.3785182814062259,-1.0125201555348344,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-23,-47,-0.11384211602099524,11.9935170178282,0.48652561478765866,0.7131280388978922,13.517017828200972,0.8956446516527355,1.653160453808752,10.405186385737439,1.7393678843233777,1.815235008103727,1.6571174437887515,0.37612855738104695,-0.1296141786846501,0.3771891008350862,-1.0489847277931126,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-24,-289,-1.5334751798746926,10.761750405186387,0.19236578970885204,-1.6207455429497557,12.641815235008103,0.6746222187626348,0.6807131280388976,10.048622366288493,1.4839888804525332,1.3614262560777952,-0.024215265910786144,0.3775574107747617,-0.09666788059936737,0.37791003348992397,-1.0156626513481546,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-25,-313,-1.613547765097823,9.27066450567261,-0.16297293105060282,-2.8525121555915725,11.79902755267423,0.4616993078511131,-0.06482982171798923,9.594813614262561,1.1700195956720032,0.8103727714748779,-0.7196191256078804,0.37787531473051694,-0.09106227000891351,0.3790961805930978,-0.9672460874532077,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-26,129,1.022276462697524,9.886547811993516,-0.012533337438368722,-2.366288492706646,12.414910858995137,0.6213468872713235,0.48622366288492636,9.821717990275527,1.3068554607960816,1.0696920583468383,0.47194750561878995,0.3752986508585108,-0.153342856964682,0.38082892817480385,-0.9012052450152482,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-27,-521,-2.606329133284593,6.158833063209076,-0.8960619466222088,-7.941653160453808,10.567260940032416,0.15417127810393383,-2.2690437601296587,9.173419773095624,0.869301007353055,-0.06482982171799101,-1.2747692740149448,0.38010276105401813,-0.03813482346909082,0.3871761518083467,-0.6793274555192826,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-30,-59,-0.03317083812594449,6.061588330632091,-0.9101246680514752,-8.816855753646678,10.145867098865478,0.052281011640485056,-2.755267423014585,9.076175040518638,0.7980879223624733,-0.22690437601296587,-0.8237870427150262,0.3789951271093466,-0.06526059212717301,0.3857248408772296,-0.7230980695409628,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-31,270,1.7051827886360813,7.941653160453808,-0.4529949069708216,-7.747163695299837,10.891410048622365,0.2501152831167477,-2.4635332252836317,9.594813614262561,1.1309880363027311,-0.09724473257698563,0.3375021564844169,0.3842638045545774,0.05782497301148866,0.3884510724830441,-0.6254472827499915,,,,,,,,,,,,,,,,,,,,,,,,,,
