Date,adv,dec,ad,ad_z_50,pct_above_20dma,pct_above_20dma_z,pct_above_20dma_chg,pct_above_50dma,pct_above_50dma_z,pct_above_50dma_chg,pct_above_200dma,pct_above_200dma_z,pct_above_200dma_chg,nh,nl,nhnl,nhnl_z,median_stock_vol_20,median_stock_vol_20_z,median_stock_vol_50,median_stock_vol_50_z,nifty50_dist_200_z,nifty50_dma200_slope_pct,nifty50_persistence_200,nifty50_vol_20_z,nifty50_vol_50_z,nifty50_mom_126,nifty_total_dist_200_z,nifty_total_dma200_slope_pct,nifty_total_persistence_200,nifty_total_vol_20_z,nifty_total_vol_50_z,nifty_total_mom_126
2013-11-08,359,552,-193,-0.9909948100366996,56.188605108055015,1.1187901368322286,-7.739250603367829,67.77996070726915,2.0244495221340433,2.14869818221905,37.721021611001966,2.9367359448606254,12.270119807394753,0,0,0,-0.05858490177835125,0.4077917230590697,0.47589029984543474,0.43141958323933294,0.573370932970565,0.5270919141708696,0.37597912657569843,72.0,-0.5101750186760393,1.1069548890020051,0.014974835334661263,,,,,,
2013-11-11,298,615,-317,-1.5098684079658669,49.19678714859438,0.731602660324945,-13.303212851405618,66.06425702811245,1.9093511439539261,0.7864792503346649,36.94779116465863,2.7936212078614537,10.85652132338879,0,0,0,-0.024304672573793894,0.4053910314406004,0.4174663730062536,0.4274228086166909,0.48221792045388256,0.3081806164909935,0.35433216256743894,72.39999999999999,-0.5393552167543276,0.8581631057300467,-0.002617006439968761,,,,,,
2013-11-12,295,610,-315,-1.4344286203267518,41.417165668662676,0.3037445632561122,-21.244204738487277,59.2814371257485,1.5296038524501303,-6.0611646617390775,35.728542914171655,2.622380808261082,9.412753440487446,0,0,0,0.04579759641386638,0.4068849912001608,0.441172691232062,0.4310965178907005,0.5517996472319251,0.0898369486605248,0.3296630143732937,72.8,-0.48727935286353563,0.8791536426094658,-0.014605591714765165,,,,,,
2013-11-13,318,580,-262,-1.1721113265839236,36.474164133738604,0.028577782661451657,-21.733288031417487,56.12968591691996,1.3472195736626222,-8.422177124369064,35.25835866261398,2.525121134785954,9.981420092624049,0,0,0,0.14571314456251658,0.40475400071128287,0.3879611151136931,0.4309626367506474,0.5413435973249855,-0.0073239865770499965,0.30838177058354344,73.2,-0.4893918375697967,0.7942947617871695,0.001529985201782491,,,,,,
2013-11-14,599,289,310,1.150251747960931,40.0593471810089,0.21865088152707102,-16.68390956224784,57.566765578635014,1.4087603951300314,-7.568099556230123,36.003956478733926,2.5343547911967317,10.529431004208455,33,12,21,11.644825722027013,0.409713464190779,0.48709608641268437,0.4332115848167037,0.5815344831086431,0.25835675056130536,0.2964498722828557,73.6,-0.4371585635867438,0.7841758611382325,0.010132768455816121,,,,,,
2013-11-18,587,315,272,0.9707889093503205,46.95481335952849,0.5892506997747481,-14.537723953904354,59.03732809430255,1.470696035729303,-8.22635349773725,36.345776031434184,2.509233595942649,10.17662180257846,35,8,27,10.84298571175152,0.40606768709708496,0.40065069819259747,0.43162965515661567,0.5399903785654178,0.7858961317292598,0.2821271121157265,74.0,-0.4984976332232048,0.822575786906299,0.006873551063570238,,,,,,
2013-11-19,476,444,32,-0.020456983402306093,46.09450337512054,0.5350357546872186,-19.45005108032501,58.341369334619095,1.4185829306246096,-10.569521754489806,37.02989392478303,2.5125522192453125,9.208111746565208,28,11,17,6.2453970942152965,0.40776523060489606,0.42997225055594934,0.43160270104064874,0.5317256976048754,0.853828139049315,0.26740936263209836,74.4,-0.5054680017599246,0.46396276685312904,0.005421481709590115,,,,,,
2013-11-20,450,476,-26,-0.23873665242476,47.151277013752456,0.5859204719258565,-19.839959597737327,60.11787819253438,1.494347590912776,-8.820778087894055,38.80157170923379,2.6008474110165056,8.908679791025417,20,9,11,3.89122108988984,0.40155456800922684,0.28617325937731697,0.4292270443260548,0.4724251734126496,0.5465707038962244,0.2520556019887321,74.8,-0.40003491831928284,0.446593654398163,-0.010408417241769552,,,,,,
2013-11-21,261,657,-396,-1.7581652974408792,40.11916583912612,0.19238999201487944,-27.108556933151114,57.19960278053625,1.3286767497717153,-12.50336751649344,36.84210526315789,2.3916641543376302,5.951016154247,20,9,11,3.764191609724638,0.39950515709745915,0.2328701178775298,0.42262001672319305,0.3199248924421696,0.0637141637141587,0.23135057543219872,75.2,-0.16982511800828579,0.41780213072285816,-0.025637902191037565,,,,,,
2013-11-22,402,502,-100,-0.46919961490892886,38.584247258225325,0.10200971535535329,-24.625146088154324,55.33399800598205,1.2197700022791687,-11.495747590886836,37.387836490528414,2.387714924476243,7.642239621643874,20,7,13,4.275754802165238,0.4023110081839994,0.2868625696558444,0.4186040704844839,0.22314346439475874,0.06012539582671782,0.21472935628490397,75.6,-0.1771205481460628,0.36530127604063406,-0.019405963265239468,,,,,,
